Response ID,Birth Year,Gender,Job Tenure,Industry,Occupation,Organization Size,Household Type,Metro or Regional,Remote Q4 2020,Preferred Remote Q4 2020,Remote This Year,Preferred Remote This Year,Post-COVID Remote,Remote Policy Change,Part-Remote Past 6 Months,Part-Remote Frequency,Part-Remote Preference,Mandatory Workplace Presence,Mandatory Workplace Time,Remote Policy Suitability,Remote Work Choice,Remote Workday Choice,Manager Discretion,Remote Policy Satisfaction,Encouragement of Remote Work,Organization Readiness,Common Remote Work,Ease of Remote Permission,Remote Collaboration,Remote Promotion Concerns,Remote Break Frequency,Employer's Remote Impact,Remote Work Support,Remote Work Encouragement,Remote Work Support Changes,Workplace Time Allocation,Workplace Preparation Time,Workplace Working Time,Workplace Care Responsibilities,Workplace Personal Time,Workplace Sleep Time,Remote Prep and Commute,Remote Working Time,Remote Care Responsibilities,Remote Personal Time,Remote Sleep Time,Pay Cut for Remote Option,Maximum Pay Cut Accepted,Remote Working Barriers (Caring),Change in Connectivity Barrier,Change in Org. Software & Systems Barrier,Change in Collaboration Barrier,Change in Poor Management Barrier,Change in IT Equipment Barrier,Change in Isolation Barrier,Change in Extra Costs Barrier,Change in Cyber Security Barrier,Change in Incompatible Tasks Barrier,Change in Workspace Barrier,Change in Motivation Barrier,Change in Management's Attitude Barrier,Change in Living Situation Barrier,Change in Remote Work Skills Barrier,Change in Health & Safety Barrier,Colleague Remote Work Barriers (Biggest),Colleague Remote Work Barriers (Smallest),Colleague Remote Work Barriers (Biggest 2),Colleague Remote Work Barriers (Smallest 2),Colleague Remote Work Barriers (Biggest 3),Colleague Remote Work Barriers (Smallest 3),Colleague Remote Work Barriers (Biggest 4),Colleague Remote Work Barriers (Smallest 4),Colleague Remote Work Barriers (Biggest 5),Colleague Remote Work Barriers (Smallest 5),Performance of Tasks in Remote Work (Manager Communication),Performance of Tasks in Remote Work (Colleague Communication),Performance of Tasks in Remote Work (Decision Making),Performance of Tasks in Remote Work (Problem Solving),Performance of Tasks in Remote Work (Creativity & Innovation),Performance of Tasks in Remote Work (Technology Use),Performance of Tasks in Remote Work (Time Management),Performance of Tasks in Remote Work (Stress Management),Performance of Tasks in Remote Work (Networking),Performance of Tasks in Remote Work (Team Leadership),Performance of Tasks in Remote Work (Conflict Management),Performance of Tasks in Remote Work (People Management),Performance of Tasks in Remote Work (Presentation Skills),Performance of Tasks in Remote Work (Writing Skills),Performance of Tasks in Remote Work (Analysis & Reporting),Performance of Tasks in Remote Work (Project Management),Performance of Tasks in Remote Work (Financial Management),Performance of Tasks in Remote Work (Productivity & Efficiency),Performance of Tasks in Remote Work (Adaptation to Change),Performance of Tasks in Remote Work (Learning),Performance of Tasks in Remote Work (Self-Motivation),Performance of Tasks in Remote Work (Health & Safety),Performance of Tasks in Remote Work (Networking)_1,Performance of Tasks in Remote Work (Stress Management)_1,Biggest Personal Remote Work Barrier,Economic Impact of Remote Work,Societal Impact of Remote Work,Environmental Impact of Remote Work,Personal Wellbeing Impact of Remote Work,Income/Career Impact of Remote Work,Productivity Impact of Remote Work,Work-Life Balance Impact of Remote Work,Biggest Personal Positive Impact of Remote Work,Biggest Personal Negative Impact of Remote Work
1177,2001,Female,Between 6 and 12 months,Financial and Insurance,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Single person,Metro,20%,10%,20%,20%,30%,Yes,Yes,20%,30%,Yes,30%,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither positive nor negative,Senior leadership,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,1.0,10.0,3.0,3.0,7.0,1.0,10.0,2.0,3.0,8.0,Yes,0.3,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Significantly improved,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Problems with audio-visual setup,Interruptions,Noisy work environment,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Lack of privacy,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
1178,1974,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - Personal Assistants and Secretaries,More than 200,One parent family with dependent children,Metro,90%,100% - All of my time,80%,100% - All of my time,100% - All of my time,No,Yes,10%,Less than 10% of my time,Unsure,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly Positive,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2.0,7.0,5.0,2.0,8.0,0.0,7.0,4.0,5.0,8.0,Yes,0.1,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly improved,Significantly improved,Not a barrier for me,Not a barrier for me,Somewhat improved,Somewhat improved,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Strongly agree,Strongly agree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
1179,1968,Male,Between 1 and 5 years,Other Services,Sales workers - Sales Assistants and Salespersons,More than 200,Couple with no dependent children,Metro,70%,50% - About half of my time,30%,80%,50% - About half of my time,Yes,Yes,20%,50% - About half of my time,Yes,70%,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat Positive,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly Negative,My direct manger(s),Neither unlikely or likely,Somewhat likely,Somewhat unlikely,2.0,9.0,3.0,3.0,7.0,1.0,7.0,3.0,5.0,8.0,Yes,0.05,Somewhat worsened,Significantly worsened,Stayed about the same,Significantly worsened,Somewhat worsened,Not a barrier for me,Stayed about the same,Somewhat worsened,Significantly improved,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Significantly worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Difficulty innovating,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Problems with audio-visual setup,Problems with audio-visual setup,Interruptions,Noisy work environment,Difficulty innovating,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Difficulty innovating,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Noisy work environment,Difficulty innovating,Strongly agree,Strongly disagree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,Im 50% more productive when working remotely (or more)
1180,1993,Female,Between 6 and 12 months,Retail Trade,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,Couple with no dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,80%,90%,80%,Yes,Yes,90%,100% - All of my time,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Somewhat unlikely,Somewhat unlikely,1.0,8.0,3.0,5.0,7.0,0.5,7.0,4.0,5.5,7.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Somewhat improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Problems with audio-visual setup,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,Im 50% more productive when working remotely (or more)
1181,1975,Female,Between 1 and 5 years,Arts and Recreation,Managers - Specialist Managers,More than 200,Other one family household,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,10%,Less than 10% of my time,Yes,60%,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat Negative,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,4.0,12.0,0.0,3.0,5.0,1.0,10.0,4.0,4.0,5.0,No,0.1,Significantly improved,Somewhat improved,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Somewhat improved,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Strongly agree,Somewhat disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Im 30% more productive when working remotely,Im 30% more productive when working remotely
1182,1988,Female,Between 1 and 5 years,Education and Training,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,20%,20%,20%,20%,Less than 10% of my time,Yes,Yes,20%,10%,Yes,30%,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat Negative,They are about the same,Neither unlikely or likely,Somewhat unlikely,Neither unlikely or likely,5.0,8.0,2.0,2.0,7.0,6.0,8.0,2.0,1.0,7.0,Yes,0.15,Somewhat improved,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Significantly worsened,Somewhat improved,Somewhat worsened,Stayed about the same,Not a barrier for me,Significantly worsened,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Problems with audio-visual setup,Interruptions,Problems with audio-visual setup,Interruptions,Difficulty innovating,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Yes,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Im 20% less productive when working remotely,Im 20% less productive when working remotely
1183,1990,Male,Between 1 and 5 years,Manufacturing,Technicians and trades workers - Automotive and Engineering Trades Workers,Between 20 and 199,Single person,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,Yes,Yes,20%,Less than 10% of my time,Yes,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly Positive,My direct manger(s),Very unlikely,Very unlikely,Very unlikely,3.0,8.0,3.0,1.0,9.0,0.0,9.0,3.0,4.0,8.0,Yes,0.01,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Lack of privacy,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Interruptions,Lack of privacy,Difficulty innovating,Noisy work environment,Strongly agree,Strongly agree,Strongly disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
1184,1991,Female,More than 5 years,Other Services,Labourers - Factory Process Workers,More than 200,Multiple family household,Regional,Less than 10% of my time,I would not have preferred to work remotely,Less than 10% of my time,I would not have preferred to work remotely,I would prefer not to work remotely,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Yes,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly Negative,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,Senior leadership,Somewhat unlikely,Somewhat likely,Very unlikely,2.0,9.0,5.0,3.0,5.0,3.0,9.0,5.0,2.0,5.0,No,0.1,Somewhat worsened,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Significantly worsened,Stayed about the same,Stayed about the same,Somewhat improved,Significantly worsened,Difficulty collaborating with remote colleagues,Lack of privacy,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Lack of privacy,Interruptions,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Problems with audio-visual setup,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Difficulty innovating,Strongly disagree,Somewhat disagree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 40% less productive when working remotely,Im 50% more productive when working remotely (or more)
1185,2000,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Couple with dependent children,Metro,90%,70%,70%,90%,60%,Yes,Yes,80%,60%,Yes,30%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Somewhat likely,Very likely,3.0,2.0,3.0,5.0,11.0,2.0,6.0,2.0,2.0,12.0,Yes,0.23,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Somewhat agree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 30% more productive when working remotely,Im 50% more productive when working remotely (or more)
1186,1988,Female,More than 5 years,Financial and Insurance,Clerical and administrative workers - Clerical and Office Support Workers,More than 200,One parent family with dependent children,Metro,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Yes,Less than 10% of my time,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,1.0,9.0,2.0,5.0,7.0,0.5,9.0,2.5,5.0,7.0,No,0.1,Not a barrier for me,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat worsened,Somewhat improved,Significantly worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty innovating,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Connectivity/internet issues,Problems with audio-visual setup,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Somewhat disagree,Somewhat disagree,Somewhat agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% less productive when working remotely (or worse),Im 50% more productive when working remotely (or more)
1187,1990,Female,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",More than 200,Couple with no dependent children,Metro,90%,90%,20%,40%,30%,Yes,Yes,Less than 10% of my time,Less than 10% of my time,Yes,60%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,1.0,9.0,3.0,2.0,9.0,0.5,10.0,3.0,1.5,9.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Stayed about the same,Significantly improved,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Not a barrier for me,Interruptions,Lack of privacy,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Interruptions,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Problems with audio-visual setup,Noisy work environment,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% more productive when working remotely,Im 10% more productive when working remotely
1188,1967,Female,More than 5 years,Information Media and Telecommunications,Professionals - Arts and Media Professionals,More than 200,Single person,Regional,70%,70%,10%,I would not have preferred to work remotely,10%,Yes,Yes,50% - About half of my time,20%,Yes,100% - All of my time,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat Negative,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat Negative,My direct manger(s),Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,0.5,8.6,1.0,4.0,9.9,0.0,7.6,2.0,5.0,9.4,No,0.1,Stayed about the same,Somewhat improved,Significantly improved,Somewhat worsened,Significantly worsened,Somewhat improved,Significantly worsened,Not a barrier for me,Not a barrier for me,Significantly worsened,Somewhat improved,Significantly worsened,Not a barrier for me,Stayed about the same,Somewhat improved,Significantly worsened,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Difficulty innovating,Difficulty collaborating with remote colleagues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Problems with audio-visual setup,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Noisy work environment,Interruptions,Difficulty innovating,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of privacy,Difficulty collaborating with remote colleagues,Difficulty innovating,Somewhat disagree,Somewhat disagree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
1189,1992,Male,Between 1 and 5 years,Manufacturing,Clerical and administrative workers - Clerical and Office Support Workers,Between 20 and 199,Group household,Metro,Less than 10% of my time,I would not have preferred to work remotely,Less than 10% of my time,I would not have preferred to work remotely,I would prefer not to work remotely,No,Yes,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,6.0,6.0,6.0,6.0,0.0,4.0,4.0,4.0,6.0,6.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Noisy work environment,Connectivity/internet issues,Lack of privacy,Difficulty innovating,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Connectivity/internet issues,Interruptions,Noisy work environment,Problems with audio-visual setup,Interruptions,Noisy work environment,Lack of privacy,Noisy work environment,Lack of appropriate work and meeting spaces,Lack of privacy,Interruptions,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,Im 50% more productive when working remotely (or more)
